condition,seed,attack_system,n_spoof,eer
robust_goat,42,Cartesia.ai (Sonic-3),11,0.179015
robust_goat,42,Chatterbox,14,0.34432
robust_goat,42,DeepGram,9,0.10126
robust_goat,42,Edge-TTS,9,0.240516
robust_goat,42,FireRedTTS-2.0,16,0.441217
robust_goat,42,FishTTS,15,0.343979
robust_goat,42,Higgs-Audio-V2,23,0.415079
robust_goat,42,Index-TTS-1.5,15,0.528231
robust_goat,42,Index-TTS-2.0,17,0.307301
robust_goat,42,Indri-TTS-0.1,14,0.129248
robust_goat,42,Kani-TTS-370M,11,0.257509
robust_goat,42,Kitten-TTS-Nano-0.1,14,0.092432
robust_goat,42,Kitten-TTS-Nano-0.2,16,0.150606
robust_goat,42,Kyutai-TTS,19,0.157141
robust_goat,42,Llasa-1B-Multilingual,16,0.18516
robust_goat,42,Llasa-8B,18,0.402594
robust_goat,42,Mars5,16,0.310435
robust_goat,42,Marvis-TTS,5,0.19141
robust_goat,42,MatchaTTS,10,0.095705
robust_goat,42,Maya1 TTS,17,0.23714
robust_goat,42,MegaTTS3,14,0.223883
robust_goat,42,MeloTTS,13,0.159522
robust_goat,42,Metavoice-1B,14,0.21287
robust_goat,42,Microsoft VibeVoice 1.5B,13,0.299771
robust_goat,42,Microsoft VibeVoice Large,17,0.244299
robust_goat,42,MiniCPM-o-2.6,20,0.309692
robust_goat,42,Nari Dia-1.6B,11,0.267421
robust_goat,42,Nari Dia2,11,0.267421
robust_goat,42,NeuTTS-Air,16,0.287307
robust_goat,42,OpenVoiceV2,15,0.190308
robust_goat,42,Openaudio-S1-Mini,25,0.357313
robust_goat,42,OuteTTS,22,0.427012
robust_goat,42,Qwen2.5-Omni,14,0.220028
robust_goat,42,RVC,14,0.202958
robust_goat,42,"Resemble.ai (April 12th, 2025)",18,0.238864
robust_goat,42,Ringg Squirrel TTS v1.0,18,0.096855
robust_goat,42,SoulX-Podcast,12,0.328561
robust_goat,42,Spark-TTS-0.5B,16,0.574752
robust_goat,42,Step-Audio-EditX,11,0.184521
robust_goat,42,Supertonic,16,0.181856
robust_goat,42,Veena,16,0.075303
robust_goat,42,VoxCPM-0.5B,23,0.356732
robust_goat,42,VoxCPM-1.5,14,0.499449
robust_goat,42,Voxtream,18,0.269395
robust_goat,42,WhisperSpeech,21,0.322504
robust_goat,42,ZipVoice,12,0.499449
robust_goat,42,e2-tts,16,0.27533
robust_goat,42,f5-tts,17,0.283072
robust_goat,42,facebook_mms-tts-eng,18,0.157122
robust_goat,42,griffin_lim,15,0.345081
robust_goat,42,kokoro,19,0.152736
robust_goat,42,microsoft_speecht5_tts,12,0.412078
robust_goat,42,minimax_speech-02-turbo,11,0.172958
robust_goat,42,minimax_speech-2.6-hd,12,0.177863
robust_goat,42,optispeech,14,0.128697
robust_goat,42,orpheus-tts-0.1-finetune,11,0.102723
robust_goat,42,parler_tts_large_v1,14,0.125944
robust_goat,42,parler_tts_mini_v0.1,17,0.096268
robust_goat,42,parler_tts_mini_v1,6,0.176946
robust_goat,42,sesame_csm,13,0.243138
robust_goat,42,suno_bark,14,0.225535
robust_goat,42,suno_bark-small,14,0.220028
robust_goat,42,vixTTS,16,0.238436
robust_goat,123,Cartesia.ai (Sonic-3),11,0.088406
robust_goat,123,Chatterbox,14,0.306325
robust_goat,123,DeepGram,9,0.107868
robust_goat,123,Edge-TTS,9,0.16838
robust_goat,123,FireRedTTS-2.0,16,0.649504
robust_goat,123,FishTTS,15,0.472871
robust_goat,123,Higgs-Audio-V2,23,0.433801
robust_goat,123,Index-TTS-1.5,15,0.60011
robust_goat,123,Index-TTS-2.0,17,0.527371
robust_goat,123,Indri-TTS-0.1,14,0.063798
robust_goat,123,Kani-TTS-370M,11,0.34206
robust_goat,123,Kitten-TTS-Nano-0.1,14,0.080318
robust_goat,123,Kitten-TTS-Nano-0.2,16,0.060986
robust_goat,123,Kyutai-TTS,19,0.225858
robust_goat,123,Llasa-1B-Multilingual,16,0.243392
robust_goat,123,Llasa-8B,18,0.345081
robust_goat,123,Mars5,16,0.423596
robust_goat,123,Marvis-TTS,5,0.173238
robust_goat,123,MatchaTTS,10,0.092401
