claim,source,artifact_value,verdict,note
sd_along LOSO R²=0.273 on MLAAD (p=0.0005),abstract / §3.1 / key_numbers,"recomputed R²=0.277, perm p=0.0002",VERIFIED,"number was hardcoded in build_package.py (no artifact), but independent recomputation reproduces it; table2 variant says '+0.316' which is the TRIPLET model R², a different quantity"
"table2: 'sd_along +0.316 (LOSO R²), p=0.0005'",tables/table2_hardness_law.md,0.316 is the triplet (s_along+vel_entropy+sd_along) R²; sd_along alone = 0.277,MISLABELED,two different R² values presented as the same quantity in abstract (0.273) vs table2 (0.316)
"sd_along replicates on AASIST-FT (rho=+0.349, p=0.006)",abstract / §3.1,"j6 rho=0.349 p=0.0058; BUT j6 LOSO regression r2=-0.032 (negative, ns)",MISLEADING,"Spearman replicates; the LOSO-R² version of the law FAILS on AASIST-FT (r2=-0.03, perm p=0.13) and this is not reported; metric switched between detectors"
"P3 rho=+0.599 (p=0.031) prospective, pre-registered",abstract / §3.2,"verbatim values match j4_results; but registered PRIMARY P1 failed (rho=0.25, ns); P3 was one of 4 registered predictors; Holm-corrected p=0.13 (within-family), 0.24 (8-test family); J2 prior prospective attempt failed on 9 tests",MISLEADING,selective promotion of a non-primary predictor; registration 63s before scoring in same script run
"P3 replicates for AASIST (rho=+0.643, p=0.018)",abstract / §3.2,"verbatim match (j5 H1); detectors' hardness profiles correlate only rho=0.21, so quasi-independent; Holm within-family p=0.082",VERIFIED,with multiplicity caveat; directional robustness confirmed by bootstrap (never crosses 0) and LOAO jackknife
'P3 achieves 2/3 top-3 system hits',§3.2,WavLM: 2/3 (P(>=2 by chance)=0.108); AASIST: 1/3 (not mentioned); P1 and P2 predicted the SAME top-3 set,MISLEADING,the hit metric does not distinguish P3 from the failed P1/P2
"cos(w_MLAAD, w_ITW) = 0.05 (near-orthogonal)",abstract / §3.3 / key_numbers,"recomputed: 0.103 (MLAAD frame), 0.027 (raw); split-half axis reliability >0.93 in all corpora -> rotation is real, not estimation noise",VERIFIED,qualitatively; exact value is frame-dependent (0.03-0.10) and the 0.0525 artifact has no committed generating script
"cos(w_MLAAD, w_ASVspoof21) ≈ 0.36",§4 Key Findings,"recomputed: -0.207 (MLAAD frame), -0.140 (raw) — NEGATIVE; 0.362 is cos(w_mean, w_lda) WITHIN MLAAD from J1, a different quantity",CONTRADICTED,apparent copy/confusion of an unrelated number
ITW-internal axis fusion: EER 0.363 -> 0.292 (WavLM-GAT),§3.3,"artifact: axis ALONE = 0.2917, fusion = 0.3123 (worse than axis alone); recomputed: axis 0.301, fused 0.306",MISLABELED,0.292 is not a fusion result; fusion HURTS on ITW for WavLM-GAT; also no committed script produced itw_fusion_test.json
"fusion reduces EER by up to 33 pts under shift (AASIST-ZS on ITW 0.486->0.161), 'zero-training-cost'",abstract / §4 / §3.3,decomposition: supervised LDA probe ALONE achieves 0.101 on ITW and 0.100 on MLAAD — better than the fused 0.161/0.116; strict speaker-disjoint bona split: fused=0.193,MISLEADING,"the gain comes from a supervised linear probe trained on labeled eval-corpus data, not from fusing the detector; bona speaker leakage inflates the ITW number; 'zero-training-cost' is inaccurate for these headline numbers (it is fair only for I7's MLAAD centroid-axis fusion)"
I7 MLAAD fusion 0.272 -> 0.163,§3.1,"verified: baseline 0.272 -> fused 0.163; per-fold dEER all negative, all seeds",VERIFIED,system-disjoint protocol is sound; axis-alone=0.187 so fusion adds genuine value here
"iso_0.7 'small causal C effect' (dAUC=-0.0023, p=0.024)",§5 I1 table,"seed signs [-1,+1,-1]; seed-level t-test p=0.21",CONTRADICTED,effect does not replicate across the 3 seeds; utterance-level bootstrap p-value is pseudo-replicated
sub_top dAUC=-0.0320*** / sub_res +0.0039*** (direction content causal),§2.3 / §5,values match artifact; seed-consistent in sign; seed-level p=0.106/0.145 (n=3); no I1 contrast survives seed-level BH,VERIFIED,"directionally, with weaker statistical support than *** implies"
'true gated C-effect is dAUC = -0.0036',§4 Key Findings,gated iso_0.7 vs baseline = -0.0023; -0.0036 is the iso_0.7 vs shift_0.7 contrast,MISLABELED,
artifact accounts for ~75-80% of prior compaction effect,§2.3 / §4,recomputed share = 81.2%,VERIFIED,
