claim,asv_value,asv_source,mlaad_value,mlaad_source,verdict,notes
KL range widening (robust > baseline),robust=3.19x  goat=1.13x  widening=+2.06x,report.md KL table + goat_head_discovery,robust=1.63x  goat=1.42x  widening=+0.21x,target_heads.json + mlaad_goat_in_distribution/head_ranking.json,generalizes_with_caveats,ASVspoof has 3.2x range vs MLAAD 1.6x — same direction but ASVspoof effect is ~2.5x larger. Widening is present on both but weaker for MLAAD.
Top-2 ablation effect in robust checkpoint,Δ=+0.0433  ctrl Δ=+0.0033  gap=+0.0400,ablation_summary.csv  (h0_h4_zero vs ctrl_h1235),Δ=+0.0574  ctrl Δ=-0.0146  gap=+0.0720,mlaad_robust_e4/in_distribution/pooled_summary.json,generalizes_cleanly,"Both datasets: ablation ΔEER well above random ctrl. Mag ratio ≈ 0.55 (ASVspoof gap=0.040, MLAAD gap=0.072)."
Top-2 ablation effect in baseline checkpoint (using robust's head IDs),Δ=+0.0000  null_pct=57.1%  (own-heads Δ=-0.0200),e4_goat_baseline_per_system_eer.csv + comparison_to_h0h4.json,Δ=+0.0905  null_pct=100.0%,mlaad_goat_e4/in_distribution/pooled_summary.json + empirical_percentile.json,does_not_generalize,"ASVspoof: robust_goat's heads {h0,h4} don't transfer to goat (ΔEER=0, 57th pct). MLAAD: robust_goat's heads {h2,h4} fully transfer to goat (ΔEER=+0.090, 100th pct). Head identity is checkpoint-invariant in MLAAD but not in ASVspoof."
Null distribution percentile (cross-checkpoint ablation test),57.1%  Δ_observed=+0.0000,e4_goat_random_null/comparison_to_h0h4.json,100.0%  Δ_observed=+0.0905,mlaad/e4_ablation/comparison_to_null/empirical_percentile.json,does_not_generalize,Both tests use the same paradigm: apply robust's target heads to the goat and compare to 14-pair exhaustive null. ASVspoof result is chance-level (57%); MLAAD is at maximum (100%). This reinforces claim 3: head identity only cross-checkpoint stable in MLAAD.
Entropy collapse (robust_goat top heads sharper than goat's),top1(h0): goat=2.035 → robust=1.406 Δ=-0.628; top2(h4): goat=2.036 → robust=1.592 Δ=-0.444,attention_pattern_h0h4_comparison/summary_stats.csv,top1(h2): goat=1.584 → robust=1.413 Δ=-0.171; top2(h4): goat=1.625 → robust=1.488 Δ=-0.137,mlaad/attention_patterns/cross_checkpoint/entropy_per_head.json,generalizes_with_caveats,Both: robustness training sharpens top heads (lower entropy). Effect ~3x smaller in MLAAD (Δ≈−0.15) than ASVspoof (Δ≈−0.50). Same direction across all systems.
Top-1 head differentiates more than top-2 (entropy / L2),h0 entropy Δ=-0.628 > h4 Δ=-0.444  ratio=0.71,attention_pattern_h0h4_comparison/summary_stats.csv,h2 L2=0.047 > h4 L2=0.034  ratio=0.73,mlaad/attention_patterns/cross_checkpoint/checkpoint_comparison.json,generalizes_cleanly,Top-1 head shows consistently larger differentiation than top-2 on both datasets.
Functional division of labor (general detector + attack-type encoder),"h0: Other→Other peak, attack-insensitive; h4: Vowels→Other peak, attack-specific routing (TTS/VC p=0.641)",attention_pattern_per_attack_robust/ + e4_robust_per_attack_dissociation/,h2: Other→? peak; h4: Other→? peak; both target 'Other',mlaad/attention_patterns/per_attack_robust/summary_stats.csv,generalizes_with_caveats,ASVspoof shows clear h0/h4 functional split; TTS/VC dissociation is not significant (p=0.641). MLAAD has 63 attack systems so per-system patterns are noisier. Both top heads attend to 'Other' class primarily. Clear functional split not confirmed on MLAAD.
Per-class F1 cascade (attack-system classification performance),7-class probe: goat macro_F1=0.713 post_gat; A05 highest F1=0.89,bilstm_feature_probe_v2/metrics_by_extraction_point.json (post_gat 7class),"Binary probe only (63 systems, not individually labeled in probe)",N/A — binary probe only,asvspoof_specific,ASVspoof has 6 labeled attack systems enabling per-class F1. MLAAD's 63 systems are too numerous for stable per-class estimates with the available sample sizes.
GAT-localized: pre_gat features byte-identical between checkpoints,"pre_gat EER delta=0.0000  CI=[0.0, 0.0]  flag=gat_localized",bilstm_feature_probe_v2/interpretation_flag.json,pre_gat EER delta=0.0000  flag=gat_localized,mlaad/probe_three_point/interpretation_flags.json,generalizes_cleanly,Strongest claim: encoder weights are frozen; all robustness-training changes are localized to GAT+BiLSTM. Confirmed byte-identically on both datasets.
Linear probe ordering: post_wavlm vs pre_gat vs post_gat EER,post_wavlm=0.1008  pre_gat=0.0800  post_gat_g=0.1138  order: pre_gat < post_wavlm < post_gat,bilstm_feature_probe_v2/metrics_by_extraction_point.json,post_wavlm=0.1522  pre_gat=0.3976  post_gat_g=0.4030  order: post_wavlm << pre_gat ≈ post_gat,mlaad/probe_three_point/metrics_by_extraction_point.json,does_not_generalize,Opposite orderings. ASVspoof: phoneme pooling (pre_gat) IMPROVES linear separability over raw WavLM — encoder adds discriminative structure. MLAAD: phoneme pooling DRAMATICALLY degrades separability (EER 0.15→0.40). Both still confirm GAT-localized since the change between checkpoints is zero at pre_gat. This may reflect the difference in dataset difficulty: ASVspoof has 6 known attack systems; MLAAD has 63 heterogeneous TTS/VC systems spanning 2025 models.
Cross-language generalization gap,N/A — ASVspoof 2019 LA is English-only,N/A,post_wavlm gap=+0.0431  pre_gat gap=+0.0306  post_gat gap=+0.0615  ablating h2+h4 reduces robust gap by 0.216,mlaad/probe_three_point/cross_language_generalization.json + cross_language_delta.json,mlaad_specific,"MLAAD provides a direct cross-language test. Post-GAT features degrade most across languages (gap=+0.070 vs +0.043 at post_wavlm). Ablating h2+h4 on robust_goat reduces the in/out-of-distribution gap by 0.217, identifying these heads as language-overfitting components."
Language-invariant attention routing (cross-language cosine stability),N/A — monolingual dataset,N/A,"h2: cos_sim=0.9528  h4: cos_sim=0.9481 (10 shared attack systems, in-dist vs cross-lang)",mlaad/attention_patterns/cross_language_stability/stability_summary.json,mlaad_specific,"Despite ablating these heads dramatically improving cross-language EER, the attention PATTERNS themselves are stable (cos_sim≈0.95). Contradiction: heads encode language-harmful features at the routing level but their attention matrices look similar across languages. Suggests downstream representation use (BiLSTM) is the language-sensitive component, not the attention selection itself."
