path,system_id,dataset_src,gt_label,pred_label,pred_prob_vc,correct
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Index-TTS-1.5/poisoned_pen_11_f000350.wav,Index-TTS-1.5,MLAAD,TTS,TTS,0.222032,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/facebook_mms-tts-eng/pink_fairy_book_33_f000116.wav,facebook_mms-tts-eng,MLAAD,TTS,TTS,0.096425,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Metavoice-1B/piratesofersatz_04_leinster_64kb_f000086.wav,Metavoice-1B,MLAAD,TTS,TTS,0.272971,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Kitten-TTS-Nano-0.1/northandsouth_16_f000026.wav,Kitten-TTS-Nano-0.1,MLAAD,TTS,TTS,0.006157,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/RVC/jane_eyre_05_f000072.wav,RVC,MLAAD,TTS,TTS,0.144097,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Microsoft VibeVoice Large/the_master_key_10_f000116.wav,Microsoft VibeVoice Large,MLAAD,TTS,TTS,0.022988,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Higgs-Audio-V2/northandsouth_41_f000165.wav,Higgs-Audio-V2,MLAAD,TTS,TTS,0.495984,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Cartesia.ai (Sonic-3)/northandsouth_15_f000170.wav,Cartesia.ai (Sonic-3),MLAAD,TTS,TTS,0.369307,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Index-TTS-1.5/piratesofersatz_08_leinster_64kb_f000176.wav,Index-TTS-1.5,MLAAD,TTS,VC,0.762111,0
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/OuteTTS/poisoned_pen_12_f000163.wav,OuteTTS,MLAAD,TTS,TTS,0.068551,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/MatchaTTS/northandsouth_49_f000014.wav,MatchaTTS,MLAAD,TTS,TTS,0.184499,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Kitten-TTS-Nano-0.1/silent_bullet_11_f000141.wav,Kitten-TTS-Nano-0.1,MLAAD,TTS,TTS,0.086432,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/NeuTTS-Air/piratesofersatz_08_leinster_64kb_f000084.wav,NeuTTS-Air,MLAAD,TTS,TTS,0.035350,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/DeepGram/jane_eyre_05_f000241.wav,DeepGram,MLAAD,TTS,TTS,0.344181,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Spark-TTS-0.5B/midnight_passenger_11_f000190.wav,Spark-TTS-0.5B,MLAAD,TTS,TTS,0.041025,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/e2-tts/rinkitink_baum_18_64kb_f000126.wav,e2-tts,MLAAD,TTS,TTS,0.087526,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Edge-TTS/skyisland_15_baum_64kb_f000029.wav,Edge-TTS,MLAAD,TTS,TTS,0.046826,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Llasa-8B/midnight_passenger_03_f000047.wav,Llasa-8B,MLAAD,TTS,TTS,0.039058,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/VoxCPM-0.5B/northandsouth_43_f000045.wav,VoxCPM-0.5B,MLAAD,TTS,TTS,0.276884,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Kani-TTS-370M/rinkitink_baum_20_64kb_f000029.wav,Kani-TTS-370M,MLAAD,TTS,TTS,0.039334,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/MatchaTTS/jane_eyre_31_f000164.wav,MatchaTTS,MLAAD,TTS,TTS,0.197890,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Openaudio-S1-Mini/piratesofersatz_04_leinster_64kb_f000112.wav,Openaudio-S1-Mini,MLAAD,TTS,TTS,0.058169,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/orpheus-tts-0.1-finetune/wives_and_daughters_52_f000061.wav,orpheus-tts-0.1-finetune,MLAAD,TTS,TTS,0.041182,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Mars5/poisoned_pen_05_f000088.wav,Mars5,MLAAD,TTS,TTS,0.083036,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Qwen2.5-Omni/midnight_passenger_06_f000160.wav,Qwen2.5-Omni,MLAAD,TTS,TTS,0.310587,1
"/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Resemble.ai (April 12th, 2025)/rinkitink_baum_21_64kb_f000019.wav","Resemble.ai (April 12th, 2025)",MLAAD,TTS,TTS,0.440505,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Microsoft VibeVoice 1.5B/pink_fairy_book_23_f000028.wav,Microsoft VibeVoice 1.5B,MLAAD,TTS,VC,0.602865,0
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/NeuTTS-Air/pink_fairy_book_37_f000029.wav,NeuTTS-Air,MLAAD,TTS,TTS,0.289863,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Veena/piratesofersatz_05_leinster_64kb_f000047.wav,Veena,MLAAD,TTS,TTS,0.189824,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Qwen2.5-Omni/emerald_city_of_oz_19_f000032.wav,Qwen2.5-Omni,MLAAD,TTS,VC,0.804307,0
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/griffin_lim/poisoned_pen_09_f000046.wav,griffin_lim,MLAAD,TTS,TTS,0.043487,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/zonosTTS-v0.1/pink_fairy_book_40_f000191.wav,zonosTTS-v0.1,MLAAD,TTS,TTS,0.134122,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Cartesia.ai (Sonic-3)/midnight_passenger_02_f000156.wav,Cartesia.ai (Sonic-3),MLAAD,TTS,TTS,0.031025,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Index-TTS-2.0/northandsouth_48_f000059.wav,Index-TTS-2.0,MLAAD,TTS,TTS,0.240202,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Ringg Squirrel TTS v1.0/wives_and_daughters_51_f000100.wav,Ringg Squirrel TTS v1.0,MLAAD,TTS,TTS,0.021651,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/minimax_speech-2.6-hd/poisoned_pen_08_f000115.wav,minimax_speech-2.6-hd,MLAAD,TTS,TTS,0.035123,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Nari Dia-1.6B/wives_and_daughters_52_f000170.wav,Nari Dia-1.6B,MLAAD,TTS,TTS,0.088683,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Openaudio-S1-Mini/dorothy_and_wizard_oz_13_f000063.wav,Openaudio-S1-Mini,MLAAD,TTS,TTS,0.403816,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Kitten-TTS-Nano-0.2/pink_fairy_book_21_f000046.wav,Kitten-TTS-Nano-0.2,MLAAD,TTS,VC,0.907802,0
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/sesame_csm/wives_and_daughters_56_f000171.wav,sesame_csm,MLAAD,TTS,TTS,0.165613,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Maya1 TTS/the_sea_fairies_17_f000043.wav,Maya1 TTS,MLAAD,TTS,TTS,0.021033,1
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/WhisperSpeech/silent_bullet_02_f000211.wav,WhisperSpeech,MLAAD,TTS,TTS,0.063299,1
