path,system_id,gt_label,gt_class,n_nodes,duration_s
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Llasa-8B/emerald_city_of_oz_20_f000104.wav,Llasa-8B,TTS,0,28,7.04
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/FishTTS/piratesofersatz_06_leinster_64kb_f000089.wav,FishTTS,TTS,0,29,13.61
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/MegaTTS3/northandsouth_39_f000063.wav,MegaTTS3,TTS,0,27,1.84
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Kitten-TTS-Nano-0.2/pink_fairy_book_21_f000046.wav,Kitten-TTS-Nano-0.2,TTS,0,31,7.85
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Edge-TTS/poisoned_pen_09_f000059.wav,Edge-TTS,TTS,0,30,7.25
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Qwen2.5-Omni/emerald_city_of_oz_19_f000032.wav,Qwen2.5-Omni,TTS,0,32,12.69
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/suno_bark/wives_and_daughters_16_f000002.wav,suno_bark,TTS,0,30,6.36
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Openaudio-S1-Mini/dorothy_and_wizard_oz_13_f000063.wav,Openaudio-S1-Mini,TTS,0,36,2.23
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Microsoft VibeVoice 1.5B/pink_fairy_book_23_f000028.wav,Microsoft VibeVoice 1.5B,TTS,0,35,2.80
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Voxtream/the_sea_fairies_15_f000119.wav,Voxtream,TTS,0,37,2.40
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Index-TTS-1.5/piratesofersatz_08_leinster_64kb_f000176.wav,Index-TTS-1.5,TTS,0,37,10.41
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/DeepGram/jane_eyre_05_f000241.wav,DeepGram,TTS,0,38,2.84
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/f5-tts/wives_and_daughters_13_f000053.wav,f5-tts,TTS,0,38,7.94
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/Higgs-Audio-V2/northandsouth_41_f000165.wav,Higgs-Audio-V2,TTS,0,38,4.92
/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/mlaad_en/OpenVoiceV2/jane_eyre_04_f000253.wav,OpenVoiceV2,TTS,0,40,3.17
