split,path,label,system_id,hf_idx
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/ljspeech_full_band_melgan/LJ006-0061_gen.wav,1,ljspeech_full_band_melgan,
train,__hf__,0,librispeech,3950
train,__hf__,0,librispeech,9053
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T33/task1/team33_intra-TEF2_SEM2_E30001.wav,1,VCC2020_T33,
train,__hf__,0,librispeech,17891
train,__hf__,0,librispeech,16215
train,__hf__,0,librispeech,4263
train,__hf__,0,librispeech,6088
train,__hf__,0,librispeech,1961
train,__hf__,0,librispeech,25415
train,__hf__,0,librispeech,3216
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_4017.wav,1,common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T13/task1/team13_intra-TEM2_SEF1_E30005.wav,1,VCC2020_T13,
train,__hf__,0,librispeech,23036
train,__hf__,0,librispeech,4779
train,__hf__,0,librispeech,6847
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T19/task1/team19_intra-TEF2_SEF1_E30001.wav,1,VCC2020_T19,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T25/task1/team25_intra-TEF2_SEM1_E30001.wav,1,VCC2020_T25,
train,__hf__,0,librispeech,24432
train,__hf__,0,librispeech,16909
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_4905.wav,1,common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech,
train,__hf__,0,librispeech,4271
train,__hf__,0,librispeech,11605
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T24/task1/team24_intra-TEF2_SEM2_E30004.wav,1,VCC2020_T24,
train,__hf__,0,librispeech,18213
train,__hf__,0,librispeech,2086
train,__hf__,0,librispeech,14540
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/ljspeech_hifiGAN/LJ044-0226_generated.wav,1,ljspeech_hifiGAN,
train,__hf__,0,librispeech,3032
train,__hf__,0,librispeech,804
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T30/task1/team30_intra-TEF2_SEM1_E30003.wav,1,VCC2020_T30,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T23/task1/team23_intra-TEM2_SEF2_E30005.wav,1,VCC2020_T23,
train,__hf__,0,librispeech,28141
train,__hf__,0,librispeech,14584
train,__hf__,0,librispeech,12283
train,__hf__,0,librispeech,23196
train,__hf__,0,librispeech,5197
train,__hf__,0,librispeech,7354
train,__hf__,0,librispeech,8108
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/ljspeech_parallel_wavegan/LJ046-0220_gen.wav,1,ljspeech_parallel_wavegan,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T06/task1/team06_intra-TEF1_SEF2_E30001.wav,1,VCC2020_T06,
train,__hf__,0,librispeech,16308
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T04/task1/team04_intra-TEF1_SEF2_E30002.wav,1,VCC2020_T04,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T21/task1/team21_intra-TEM2_SEM2_E30003.wav,1,VCC2020_T21,
train,__hf__,0,librispeech,696
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T22/task1/team22_intra-TEM2_SEM2_E30005.wav,1,VCC2020_T22,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T03/task1/team03_intra-TEF2_SEF1_E30002.wav,1,VCC2020_T03,
train,__hf__,0,librispeech,22946
train,__hf__,0,librispeech,20960
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech/gen_2525.wav,1,common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech,
train,__hf__,0,librispeech,18706
train,__hf__,0,librispeech,1501
train,__hf__,0,librispeech,3182
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T13/task1/team13_intra-TEF1_SEM1_E30002.wav,1,VCC2020_T13,
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T18/task1/team18_intra-TEM1_SEM2_E30002.wav,1,VCC2020_T18,
train,__hf__,0,librispeech,9565
train,__hf__,0,librispeech,26870
train,__hf__,0,librispeech,24272
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T04/task1/team04_intra-TEM2_SEM2_E30002.wav,1,VCC2020_T04,
train,__hf__,0,librispeech,4838
train,__hf__,0,librispeech,10572
train,__hf__,0,librispeech,14375
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/wavefake/generated_audio/ljspeech_parallel_wavegan/LJ009-0090_gen.wav,1,ljspeech_parallel_wavegan,
train,__hf__,0,librispeech,4733
train,/lambda/nfs/algovirginia/workspace/DeepfakeDetectionRenewed/data/vcc2020/audio/T22/task1/team22_intra-TEM2_SEM2_E30001.wav,1,VCC2020_T22,
train,__hf__,0,librispeech,26071
